Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1966,A,1966/05/18,1966/09/23,1421,0.40,-2.71,nan,0.08
1966,B,1966/05/18,1966/08/26,1712,1.00,0.10,nan,0.00
1966,C,1966/05/17,1966/09/18,1960,1.05,0.77,nan,0.25
1967,A,1967/04/27,1967/09/30,1420,0.60,-2.25,0.00,0.10
1967,B,1967/04/27,1967/09/08,1711,1.05,0.10,nan,0.10
1967,C,1967/04/26,1967/09/09,1960,1.30,1.80,0.00,0.55
1968,A,1968/04/30,1968/09/24,1419,0.78,-2.73,0.00,nan
1968,B,1968/06/16,1968/09/05,1711,1.14,-1.15,0.00,0.02
1968,C,1968/06/15,1968/09/07,1960,2.40,1.19,0.00,0.06
1969,A,1969/05/17,1969/08/20,1418,0.38,-2.82,0.00,0.00
1969,B,1969/05/26,1969/08/20,1710,0.55,-1.55,0.00,0.06
1969,C,1969/05/23,1969/08/11,1960,0.86,0.15,0.00,0.21
1970,A,1970/03/15,1970/08/28,1417,0.42,-1.91,-0.28,0.00
1970,B,1970/06/12,1970/08/25,1710,0.92,0.21,0.00,0.17
1970,C,1970/06/13,1970/07/17,1960,1.33,1.39,0.00,0.05
1971,A,1971/06/14,1971/08/22,1416,0.66,-1.65,nan,0.00
1971,B,1971/06/14,1971/08/28,1710,0.99,-0.61,0.00,0.00
1971,C,1971/07/17,1971/08/17,1960,1.55,1.19,0.00,0.03
1972,A,1972/05/09,1972/09/02,1415,0.67,-2.50,-0.19,0.00
1972,B,1972/06/13,1972/08/13,1709,1.26,-0.49,-0.06,0.00
1972,C,1972/05/07,1972/08/12,1960,1.24,0.66,-0.09,0.00
1973,A,1973/05/21,1973/08/01,1414,0.79,-1.11,-0.17,0.00
1973,B,1973/05/22,1973/08/01,1709,1.21,0.36,-0.49,0.00
1973,C,1973/05/22,1973/08/01,1960,1.74,1.40,0.00,0.04
