Year,Bw,Bs,Ba,ELA,Bw_Date,Ba_Date,Calibration
1966,0.54,-1.28,-0.74,1728,1966/05/22,1966/09/10,-0.66
1967,0.78,-0.60,0.18,1698,1967/05/15,1967/09/04,-0.66
1968,1.79,-2.28,-0.49,1833,1968/05/16,1968/08/28,-0.66
1969,0.39,-1.58,-1.19,1907,1969/05/08,1969/10/17,-0.66
1970,0.59,-0.67,-0.08,1663,1970/05/04,1970/07/29,-0.66
1971,1.15,-1.63,-0.48,1803,1971/05/30,1971/09/01,-0.66
1972,0.76,-1.57,-0.81,1857,1972/05/20,1972/08/29,-0.66
1973,1.14,-1.14,-0.00,1693,1973/05/24,1973/08/06,-0.66
1974,0.46,-2.37,-1.91,2003,1974/05/02,1974/09/21,-0.66
1975,0.91,-1.72,-0.81,1815,1975/05/22,1975/09/02,-0.66
1976,0.75,-0.80,-0.05,1812,1976/05/24,1976/09/02,-0.66
1977,2.08,-1.75,0.33,1757,1977/05/06,1977/09/05,-0.66
1978,1.01,-1.08,-0.07,1779,1978/05/29,1978/09/15,-0.66
1979,1.18,-1.45,-0.27,1817,1979/04/25,1979/09/14,-0.66
1980,0.94,-0.31,0.63,1737,1980/05/02,1980/08/13,-1.22
1981,0.32,-0.43,-0.11,1685,1981/04/09,1981/08/10,-1.22
1982,1.25,-1.76,-0.51,1757,1982/05/20,1982/08/28,-1.22
1983,0.96,-0.57,0.39,1764,1983/05/26,1983/08/04,-1.22
1984,0.96,-1.45,-0.49,1786,1984/05/02,1984/08/22,-1.22
1985,0.77,-1.04,-0.27,1671,1985/05/20,1985/08/07,-1.22
1986,0.64,-0.61,0.03,1697,1986/06/02,1986/08/11,-1.22
1987,0.90,-1.52,-0.62,1753,1987/05/28,1987/09/02,-1.22
1988,1.01,-0.96,0.05,1731,1988/05/04,1988/08/10,-1.22
1989,0.98,-1.40,-0.42,1760,1989/05/15,1989/09/04,-1.22
1990,0.96,-1.63,-0.67,1784,1990/05/08,1990/09/01,-1.22
1991,0.74,-1.16,-0.42,1706,1991/04/20,1991/09/07,-1.22
1992,0.59,-1.30,-0.71,1750,1992/05/16,1992/08/30,-1.22
1993,0.24,-1.75,-1.51,1890,1993/03/25,1993/09/01,-1.22
1994,1.06,-1.45,-0.39,1752,1994/04/18,1994/09/10,-1.22
1995,0.58,-1.59,-1.01,1819,1995/03/28,1995/10/07,-1.22
1996,0.80,-1.27,-0.47,1780,1996/05/27,1996/08/24,-1.22
1997,0.74,-2.68,-1.94,1913,1997/05/19,1997/09/27,-1.22
1998,0.59,-1.04,-0.45,1748,1998/05/23,1998/08/05,-1.22
1999,0.71,-2.12,-1.41,1858,1999/05/31,1999/08/24,-1.22
2000,1.20,-1.15,0.05,1678,2000/05/25,2000/08/17,-1.22
2001,1.21,-2.16,-0.95,1810,2001/05/25,2001/09/03,-1.22
2002,0.45,-0.98,-0.53,1766,2002/05/16,2002/08/05,-1.22
2003,1.64,-1.06,0.58,1685,2003/05/24,2003/08/16,-1.22
2004,0.54,-2.95,-2.41,1940,2004/04/29,2004/09/01,-1.22
2005,1.42,-1.90,-0.48,1800,2005/02/15,2005/08/20,-1.22
2006,1.53,-1.07,0.46,1741,2006/05/17,2006/08/14,-0.51
2007,1.62,-1.81,-0.19,1830,2007/05/15,2007/09/12,-0.51
2008,0.98,0.36,1.34,1677,2008/05/31,2008/07/16,-0.51
2009,1.07,-1.64,-0.57,1831,2009/04/26,2009/08/11,-0.51
2010,0.50,-2.12,-1.62,1991,2010/04/13,2010/09/22,-0.51
2011,0.40,-2.04,-1.64,2005,2011/05/19,2011/09/21,-0.51
2012,0.70,-1.07,-0.37,1838,2012/05/31,2012/08/23,-0.51
2013,1.43,-2.62,-1.19,1923,2013/05/23,2013/08/18,-0.51
2014,1.13,-1.17,-0.04,1730,2014/04/25,2014/08/24,-0.51
2015,0.71,-2.00,-1.29,1968,2015/05/09,2015/08/25,-0.51
2016,1.10,-2.42,-1.32,1959,2016/05/10,2016/09/04,-0.51
2017,0.45,-2.35,-1.90,2183,2017/05/29,2017/09/09,-0.51
2018,0.93,-1.35,-0.42,1811,2018/05/29,2018/09/20,-0.51
2019,0.85,-2.37,-1.52,1978,2019/05/12,2019/09/15,-0.51
2020,1.48,-1.74,-0.26,1792,2020/05/01,2020/08/29,-0.51
2021,0.74,-1.51,-0.77,1806,2021/05/30,2021/08/08,-0.51
2022,0.59,-1.75,-1.16,1838,2022/04/08,2022/09/01,-0.51
