Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1966,A,1966/04/23,1966/09/03,617,0.77,-3.62,nan,0.00
1966,B,1966/04/23,1966/10/24,1084,1.01,-1.00,nan,0.26
1966,C,1966/04/23,1966/10/24,1307,2.06,0.61,nan,0.46
1967,A,1967/05/26,1967/10/04,616,0.39,-4.95,-1.30,0.00
1967,B,1967/04/04,1967/10/01,1083,0.88,nan,0.00,nan
1967,C,1967/04/02,1967/10/01,1307,1.95,nan,0.00,nan
1968,A,1968/04/04,1968/08/20,615,0.88,-3.08,-0.14,0.00
1968,B,1968/06/05,1968/08/21,1083,1.62,-0.95,0.00,0.00
1968,C,1968/06/06,1968/10/10,1307,2.36,0.44,0.00,0.34
1969,A,1969/04/13,1969/09/16,615,0.62,-2.08,nan,0.00
1969,B,1969/06/05,1969/09/13,1083,2.07,-0.68,-0.49,0.00
1969,C,1969/06/03,1969/11/19,1307,2.79,1.19,0.00,1.21
1970,A,1970/04/18,1970/10/03,614,1.54,-2.51,-0.62,0.00
1970,B,1970/04/11,1970/09/27,1083,2.63,0.94,-0.08,0.00
1970,C,1970/04/19,1970/09/29,1307,4.03,3.08,0.00,0.08
1971,A,1971/04/27,1971/08/14,613,0.87,-1.37,-0.12,0.00
1971,B,1971/04/27,1971/10/14,1082,2.13,-0.19,0.00,0.26
1971,C,1971/07/11,1971/10/21,1307,2.86,1.38,0.00,0.50
1972,A,1972/04/11,1972/08/19,612,0.13,-3.20,-1.33,0.00
1972,B,1972/06/21,1972/08/18,1082,0.96,-0.68,0.00,0.00
1972,C,1972/06/21,1972/10/03,1307,1.45,0.00,0.00,0.01
1973,A,1973/05/31,1973/08/25,612,0.76,-2.82,-1.10,0.00
1973,B,1973/06/01,1973/08/24,1082,1.42,0.00,-0.66,0.00
1973,C,1973/07/06,1973/10/16,1306,2.64,1.54,0.00,0.35
1974,A,1974/06/09,1974/09/22,611,0.04,-5.12,-0.77,0.00
1974,B,1974/06/08,1974/09/22,1082,1.38,-1.75,-0.07,0.00
1974,C,1974/06/08,1975/02/06,1306,1.78,0.00,0.00,1.38
1975,A,1975/05/31,1975/08/20,610,0.59,-1.98,-0.09,0.00
1975,B,1975/06/03,1975/10/27,1081,1.96,-0.75,0.00,0.15
1975,C,1975/06/03,1975/10/27,1306,2.73,1.01,0.00,0.35
1976,A,1976/02/25,1976/07/12,609,0.47,-1.51,-2.29,0.00
1976,B,1976/07/12,1976/10/15,1081,0.50,-1.41,0.00,0.26
1976,C,1976/07/13,1976/10/20,1306,1.15,0.34,0.00,0.67
1977,A,1977/06/06,1977/10/24,609,1.99,-3.19,-3.36,0.19
1977,B,1977/06/11,1977/10/24,1081,3.10,0.13,0.00,0.45
1977,C,1977/06/07,1977/10/24,1306,4.19,3.43,0.00,0.78
1978,A,1978/06/04,1978/09/28,608,0.75,-3.78,0.00,0.00
1978,B,1978/06/02,1978/09/29,1081,1.90,-0.38,0.00,0.00
1978,C,1978/06/02,1978/09/29,1306,3.18,2.07,0.00,0.05
1979,A,1979/03/14,1979/08/11,607,0.79,-3.58,-0.10,0.00
1979,B,1979/03/07,1979/08/06,1080,1.11,-0.23,-0.05,0.00
1979,C,1979/03/11,1979/08/04,1306,1.93,1.30,0.00,0.00
1980,A,1980/06/04,1980/09/09,607,1.63,-1.40,-2.31,0.00
1980,B,1980/06/06,1980/09/05,1080,2.86,1.33,-2.15,0.00
1980,C,1980/01/11,1980/09/05,1306,1.95,nan,nan,nan
1981,A,1981/06/02,1981/09/01,606,1.13,-2.01,-0.56,0.00
1981,B,1981/06/07,1981/09/01,1080,2.64,0.95,nan,0.00
1981,C,1981/06/04,1981/09/02,1305,7.73,5.79,0.00,0.00
1982,A,1982/01/20,1982/09/02,605,0.34,-3.95,-0.64,0.00
1982,B,1982/06/26,1982/09/01,1080,0.93,-0.65,-0.02,0.00
1982,C,1982/06/26,1982/11/06,1305,2.89,1.36,nan,0.39
1983,A,1983/06/11,1983/09/02,604,0.36,-3.41,-0.75,0.00
1983,B,1983/06/13,1983/09/02,1079,1.57,-0.73,-0.35,0.00
1983,C,1983/06/15,1983/11/14,1305,2.74,1.10,0.00,0.84
1984,A,1984/06/07,1984/08/17,604,0.35,-3.48,-0.78,0.00
1984,B,1984/06/08,1984/08/20,1079,1.39,-0.61,-0.18,0.00
1984,C,1984/06/08,1984/10/30,1305,2.24,1.33,0.00,0.47
1985,A,1985/06/08,1985/08/27,603,0.98,-2.22,-1.84,0.00
1985,B,1985/06/14,1985/08/27,1079,1.59,0.17,-0.59,0.00
