Year,site_name,Elevation,Date1,Surface1,Date2,Surface2,db
2016,EP_2,560,2016/04/20,snow,2016/05/07,snow,0.17
2016,EP_2,560,2016/04/20,snow,2016/05/10,snow,0.08
2016,EP_2,560,2016/04/20,snow,2016/05/11,snow,0.13
2016,EP_2,560,2016/04/20,snow,2016/05/12,snow,0.10
2016,EP_2,560,2016/04/20,snow,2016/05/15,snow,-0.11
2016,EP_2,560,2016/04/20,snow,2016/06/04,snow,-0.93
2016,EP_2,560,2016/04/20,snow,2016/07/15,ice,-3.51
2016,EP_2,560,2016/04/20,snow,2016/07/16,ice,-3.69
2016,EP_2,560,2016/04/20,snow,2016/07/17,ice,-3.84
2016,EP_2,560,2016/04/20,snow,2016/08/21,ice,-6.02
2016,EP_2,560,2016/04/20,snow,2016/09/11,ice,-7.10
2016,EP_2,560,2016/04/20,snow,2016/10/15,snow,-8.14
2016,EP_2,560,2016/05/07,snow,2016/05/10,snow,-0.09
2016,EP_2,560,2016/05/07,snow,2016/05/11,snow,-0.04
2016,EP_2,560,2016/05/07,snow,2016/05/12,snow,-0.07
2016,EP_2,560,2016/05/07,snow,2016/05/15,snow,-0.28
2016,EP_2,560,2016/05/07,snow,2016/06/04,snow,-1.10
2016,EP_2,560,2016/05/07,snow,2016/07/15,ice,-3.68
2016,EP_2,560,2016/05/07,snow,2016/07/16,ice,-3.86
2016,EP_2,560,2016/05/07,snow,2016/07/17,ice,-4.01
2016,EP_2,560,2016/05/07,snow,2016/08/21,ice,-6.19
2016,EP_2,560,2016/05/07,snow,2016/09/11,ice,-7.27
2016,EP_2,560,2016/05/07,snow,2016/10/15,ice,-8.31
2016,EP_2,560,2016/05/10,snow,2016/05/11,snow,0.05
2016,EP_2,560,2016/05/10,snow,2016/05/12,snow,0.02
2016,EP_2,560,2016/05/10,snow,2016/05/15,snow,-0.19
2016,EP_2,560,2016/05/10,snow,2016/06/04,snow,-1.01
2016,EP_2,560,2016/05/10,snow,2016/07/15,ice,-3.59
2016,EP_2,560,2016/05/10,snow,2016/07/16,ice,-3.77
2016,EP_2,560,2016/05/10,snow,2016/07/17,ice,-3.92
2016,EP_2,560,2016/05/10,snow,2016/08/21,ice,-6.10
2016,EP_2,560,2016/05/10,snow,2016/09/11,ice,-7.18
2016,EP_2,560,2016/05/10,snow,2016/10/15,ice,-8.22
2016,EP_2,560,2016/05/11,snow,2016/05/12,snow,-0.03
2016,EP_2,560,2016/05/11,snow,2016/05/15,snow,-0.24
2016,EP_2,560,2016/05/11,snow,2016/06/04,snow,-1.06
2016,EP_2,560,2016/05/11,snow,2016/07/15,ice,-3.64
2016,EP_2,560,2016/05/11,snow,2016/07/16,ice,-3.82
2016,EP_2,560,2016/05/11,snow,2016/07/17,ice,-3.97
2016,EP_2,560,2016/05/11,snow,2016/08/21,ice,-6.15
2016,EP_2,560,2016/05/11,snow,2016/09/11,ice,-7.23
2016,EP_2,560,2016/05/11,snow,2016/10/15,ice,-8.27
2016,EP_2,560,2016/05/12,snow,2016/05/15,snow,-0.21
2016,EP_2,560,2016/05/12,snow,2016/06/04,snow,-1.03
2016,EP_2,560,2016/05/12,snow,2016/07/15,ice,-3.61
2016,EP_2,560,2016/05/12,snow,2016/07/16,ice,-3.79
2016,EP_2,560,2016/05/12,snow,2016/07/17,ice,-3.94
2016,EP_2,560,2016/05/12,snow,2016/08/21,ice,-6.12
2016,EP_2,560,2016/05/12,snow,2016/09/11,ice,-7.20
2016,EP_2,560,2016/05/12,snow,2016/10/15,ice,-8.24
2016,EP_2,560,2016/05/15,snow,2016/06/04,snow,-0.82
2016,EP_2,560,2016/05/15,snow,2016/07/15,ice,-3.40
2016,EP_2,560,2016/05/15,snow,2016/07/16,ice,-3.58
2016,EP_2,560,2016/05/15,snow,2016/07/17,ice,-3.73
2016,EP_2,560,2016/05/15,snow,2016/08/21,ice,-5.91
2016,EP_2,560,2016/05/15,snow,2016/09/11,ice,-6.99
2016,EP_2,560,2016/05/15,snow,2016/10/15,ice,-8.03
2016,EP_2,560,2016/06/04,snow,2016/07/15,ice,-2.58
2016,EP_2,560,2016/06/04,snow,2016/07/16,ice,-2.76
2016,EP_2,560,2016/06/04,snow,2016/07/17,ice,-2.91
2016,EP_2,560,2016/06/04,snow,2016/08/21,ice,-5.09
2016,EP_2,560,2016/06/04,snow,2016/09/11,ice,-6.17
2016,EP_2,560,2016/06/04,snow,2016/10/15,ice,-7.21
2016,EP_2,560,2016/07/15,ice,2016/07/16,ice,-0.18
2016,EP_2,560,2016/07/15,ice,2016/07/17,ice,-0.33
2016,EP_2,560,2016/07/15,ice,2016/08/21,ice,-2.51
2016,EP_2,560,2016/07/15,ice,2016/09/11,ice,-3.59
2016,EP_2,560,2016/07/15,ice,2016/10/15,ice,-4.63
2016,EP_2,560,2016/07/16,ice,2016/07/17,ice,-0.15
2016,EP_2,560,2016/07/16,ice,2016/08/21,ice,-2.33
2016,EP_2,560,2016/07/16,ice,2016/09/11,ice,-3.41
2016,EP_2,560,2016/07/16,ice,2016/10/15,ice,-4.45
2016,EP_2,560,2016/07/17,ice,2016/08/21,ice,-2.18
2016,EP_2,560,2016/07/17,ice,2016/09/11,ice,-3.26
2016,EP_2,560,2016/07/17,ice,2016/10/15,ice,-4.30
2016,EP_2,560,2016/08/21,ice,2016/09/11,ice,-1.08
2016,EP_2,560,2016/08/21,ice,2016/10/15,ice,-2.12
2016,EP_2,560,2016/09/11,ice,2016/10/15,ice,-1.04
2016,AU,619,2019/04/19,snow,2016/05/07,snow,-0.02
2016,AU,619,2019/04/19,snow,2016/06/04,snow,-0.98
2016,AU,619,2019/04/19,snow,2016/07/15,ice,-3.49
2016,AU,619,2019/04/19,snow,2016/07/17,ice,-3.70
2016,AU,619,2019/04/19,snow,2016/08/21,ice,-5.85
2016,AU,619,2019/04/19,snow,2016/09/11,ice,-6.98
2016,AU,619,2016/05/07,snow,2016/06/04,snow,-0.96
2016,AU,619,2016/05/07,snow,2016/07/15,ice,-3.47
2016,AU,619,2016/05/07,snow,2016/07/17,ice,-3.68
2016,AU,619,2016/05/07,snow,2016/08/21,ice,-5.83
2016,AU,619,2016/05/07,snow,2016/09/11,ice,-6.96
2016,AU,619,2016/06/04,snow,2016/07/15,ice,-2.51
2016,AU,619,2016/06/04,snow,2016/07/17,ice,-3.68
2016,AU,619,2016/06/04,snow,2016/08/21,ice,-5.83
2016,AU,619,2016/06/04,snow,2016/09/11,ice,-6.96
2016,AU,619,2016/07/15,ice,2016/07/17,ice,-0.21
2016,AU,619,2016/07/15,ice,2016/08/21,ice,-2.36
2016,AU,619,2016/07/15,ice,2016/09/11,ice,-3.49
2016,AU,619,2016/07/17,ice,2016/08/21,ice,-2.15
2016,AU,619,2016/07/17,ice,2016/09/11,ice,-3.28
2016,AU,619,2016/08/21,ice,2016/09/11,ice,-1.13
2016,EK_2,741,2016/04/20,snow,2016/06/04,snow,-1.87
2016,EK_2,741,2016/04/20,snow,2016/07/16,snow,-2.41
2016,EK_2,741,2016/04/20,snow,2016/09/11,ice,-5.63
2016,EK_2,741,2016/04/20,snow,2016/10/15,ice,-6.33
2016,EK_2,741,2016/06/04,snow,2016/07/16,snow,-0.54
2016,EK_2,741,2016/06/04,snow,2016/09/11,ice,-3.76
2016,EK_2,741,2016/06/04,snow,2016/10/15,ice,-4.46
2016,EK_2,741,2016/07/16,ice,2016/09/11,ice,-3.22
2016,EK_2,741,2016/07/16,ice,2016/10/15,ice,-3.92
2016,EK_2,741,2016/09/11,ice,2016/10/15,ice,-0.69
2016,EJ,786,2016/04/20,snow,2016/06/04,snow,-0.40
